NOM;envoutil_id;envversion_id;bien_id;application_id;lot_id;Environnement
XOS 3.5 SP10;XOS;3.5 SP10;X64LMWBIJKF;OSMOSE;310;QUALIF RDD
JBoss 7.1;JBoss;7.1;S64LMWBII5R;OSMOSUITE;Projection;MAB310
JBoss 7.1;JBoss;7.1;S64LMWBII65;OSMOSUITE;Projection;MAB310
JBoss 7.1;JBoss;7.1;S64LMWBII5L;OSMOSUITE;Projection;PROD310
JBoss 7.1;JBoss;7.1;S64LMWBII5Z;OSMOSUITE;Projection;PROD310
RSync ?;RSync;?;X64LMWBIES8;COHERENCE;303;INT
RSync ?;RSync;?;S64ERTBICCT;COHERENCE;303;PROD
RSync ?;RSync;?;S64ERTBICCS;GMAO MR;303;PROD
RSync ?;RSync;?;S64ERTBICCV;ORCHESTRAL;303;PROD
RSync ?;RSync;?;S64ERTBICCU;OSMOSUITE;303;PROD
IHS 6.1 FP23;IHS;6.1 FP23;S64LMWBIF1O;COHERENCE;303;MAB
IHS 6.1 FP23;IHS;6.1 FP23;S64LMWBIF1O;COHERENCE;303;MAB
IHS 6.1 FP43;IHS;6.1 FP43;S64LMWBIEHM;COHERENCE;310;PERF
IHS 6.1 FP43;IHS;6.1 FP43;S64LMWBIEHM;COHERENCE;310;PERF
IHS 6.1 FP43;IHS;6.1 FP43;S64LMWBIF1W;COHERENCE;310;PERF
IHS 6.1 FP43;IHS;6.1 FP43;S64LMWBIF1W;COHERENCE;310;PERF
IHS 6.1 FP23;IHS;6.1 FP23;S64LMWBIGKQ;COHERENCE;303;PROD
IHS 6.1 FP23;IHS;6.1 FP23;S64LMWBIGKQ;COHERENCE;303;PROD
IHS 6.1 FP23;IHS;6.1 FP23;S64LMWBIGKT;COHERENCE;303;PROD
IHS 6.1 FP23;IHS;6.1 FP23;S64LMWBIGKT;COHERENCE;303;PROD
IHS 6.1 FP23;IHS;6.1 FP23;S64LMWBIGL0;COHERENCE;303;PROD
IHS 6.1 FP23;IHS;6.1 FP23;S64LMWBIGL0;COHERENCE;303;PROD
IHS 6.1 FP23;IHS;6.1 FP23;S64LMWBIGL3;COHERENCE;303;PROD
IHS 6.1 FP23;IHS;6.1 FP23;S64LMWBIGL3;COHERENCE;303;PROD
IHS 6.1 FP41;IHS;6.1 FP41;S64LMWBIEHM;GMAO MR;310;PERF
IHS 6.1 FP41;IHS;6.1 FP41;S64LMWBIEHM;GMAO MR;310;PERF
IHS 6.1 FP41;IHS;6.1 FP41;S64LMWBIEHM;GMAO MR;310;PERF
IHS 6.1 FP41;IHS;6.1 FP41;S64LMWBIF1W;GMAO MR;310;PERF
IHS 6.1 FP41;IHS;6.1 FP41;S64LMWBIF1W;GMAO MR;310;PERF
IHS 6.1 FP41;IHS;6.1 FP41;S64LMWBIF1W;GMAO MR;310;PERF
IHS 6.1 FP41;IHS;6.1 FP41;S64LMWBIF1O;GMAO MR;303;MAB
IHS 6.1 FP41;IHS;6.1 FP41;S64LMWBIF1O;GMAO MR;303;MAB
IHS 6.1 FP41;IHS;6.1 FP41;S64LMWBIF1O;GMAO MR;303;MAB
IHS 6.1 FP41;IHS;6.1 FP41;S64LMWBIGKQ;GMAO MR;303;PROD
IHS 6.1 FP41;IHS;6.1 FP41;S64LMWBIGKQ;GMAO MR;303;PROD
IHS 6.1 FP41;IHS;6.1 FP41;S64LMWBIGKQ;GMAO MR;303;PROD
IHS 6.1 FP41;IHS;6.1 FP41;S64LMWBIGKT;GMAO MR;303;PROD
IHS 6.1 FP41;IHS;6.1 FP41;S64LMWBIGKT;GMAO MR;303;PROD
IHS 6.1 FP41;IHS;6.1 FP41;S64LMWBIGKT;GMAO MR;303;PROD
IHS 6.1 FP41;IHS;6.1 FP41;S64LMWBIGL0;GMAO MR;303;PROD
IHS 6.1 FP41;IHS;6.1 FP41;S64LMWBIGL0;GMAO MR;303;PROD
IHS 6.1 FP41;IHS;6.1 FP41;S64LMWBIGL0;GMAO MR;303;PROD
IHS 6.1 FP41;IHS;6.1 FP41;S64LMWBIGL3;GMAO MR;303;PROD
